"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19849","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114456","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19850","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114456","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19851","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114458","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19852","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114458","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19853","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114459","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19854","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114459","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19855","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114454","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19856","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114454","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19857","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114457","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19858","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114457","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19859","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114526","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19860","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114526","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19861","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114528","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19862","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114528","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19863","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19864","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114463","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19865","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114525","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19866","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114525","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19867","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114462","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19868","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114462","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19869","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114460","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19870","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114460","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19871","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19872","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114461","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19873","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114524","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19874","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114524","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19875","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114527","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19876","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114527","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19877","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114531","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19878","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114531","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19879","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114529","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19880","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114529","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19881","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114530","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19882","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114530","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19883","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114628","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19884","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114628","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19885","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114626","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19886","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114626","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19887","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114619","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19888","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114619","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19889","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114532","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19890","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114532","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19891","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114533","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19892","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114533","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19893","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114625","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19894","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114625","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19895","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114624","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19896","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114624","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19897","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114621","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19898","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114621","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19899","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114620","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","21-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19900","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114620","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","02-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19901","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114623","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19902","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114623","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19903","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114622","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19904","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114622","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19905","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114627","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","22-May-2024","shyam swaroop manufacturere","Payment Success","122577.82"
"19906","Uttar Pradesh","Lighting of public spaces","WS/MP195/2023-2024/114627","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","07-Aug-2024","shyam swaroop manufacturere","Payment Success","40851"
"19907","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144402","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19908","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144402","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19909","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144401","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19910","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144401","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19911","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144400","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19912","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144400","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19913","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144404","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19914","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144404","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19915","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144403","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19916","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144403","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19917","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144409","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19918","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144409","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19919","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144408","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19920","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144408","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19921","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144407","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19922","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144407","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19923","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144406","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19924","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144406","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19925","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144405","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19926","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144405","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19927","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144412","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19928","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144412","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19929","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144411","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19930","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144411","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19931","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144410","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
"19932","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144410","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","28-Mar-2025","shyam swaroop manufacturere","Payment Success","42514"
"19933","Uttar Pradesh","Lighting of public spaces","WS/MP195/2024-2025/144413","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","09-Jan-2025","shyam swaroop manufacturere","Payment Success","127086"
