"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"39598","Telangana","Improvement of electricity distribution infrastructure","WS/MP770/2025-2026/208269","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","08-Dec-2025","DE OP TSNPDCL KNR","Payment Success","299941"
"39599","Telangana","Improvement of electricity distribution infrastructure","WS/MP770/2025-2026/208272","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","08-Dec-2025","DE OP TSNPDCL KNR","Payment Success","162380"
"39600","Telangana","Improvement of electricity distribution infrastructure","WS/MP770/2025-2026/243155","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","23-Feb-2026","DE OP TSNPDCL KNR","Payment Success","258212"
"39601","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167382","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","12-May-2025","Karthikeya Constructions","Payment Success","1986240"
"39602","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161280","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","24-Jun-2025","SUPER ELECTRICALS","Payment Success","413882"
"39603","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161281","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","24-Jun-2025","SUPER ELECTRICALS","Payment Success","413882"
"39604","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161254","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","29-Aug-2025","SUPER ELECTRICALS","Payment Success","849506"
"39605","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161263","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","27-Jun-2025","SUPER ELECTRICALS","Payment Success","897634"
"39606","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161278","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","24-Jun-2025","SUPER ELECTRICALS","Payment Success","413882"
"39607","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161279","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","24-Jun-2025","SUPER ELECTRICALS","Payment Success","413882"
"39608","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161265","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","19-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39609","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161264","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","19-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39610","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161266","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","19-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39611","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161267","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","19-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39612","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161268","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","19-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39613","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161283","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"39614","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161284","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"39615","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161282","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"39616","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161255","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","28-Jun-2025","SUPER ELECTRICALS","Payment Success","421555"
"39617","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161256","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","28-Jun-2025","SUPER ELECTRICALS","Payment Success","417005"
"39618","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161258","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","28-Jun-2025","SUPER ELECTRICALS","Payment Success","421555"
"39619","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161257","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","28-Jun-2025","SUPER ELECTRICALS","Payment Success","421555"
"39620","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161261","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","26-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39621","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161260","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","26-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39622","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161259","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","26-Jun-2025","SUPER ELECTRICALS","Payment Success","418432"
"39623","Telangana","Street lights","WS/MP18338/2025-2026/157820","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39624","Telangana","Street lights","WS/MP18338/2025-2026/157821","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39625","Telangana","Street lights","WS/MP18338/2025-2026/157804","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39626","Telangana","Street lights","WS/MP18338/2025-2026/157806","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39627","Telangana","Street lights","WS/MP18338/2025-2026/157807","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39628","Telangana","Street lights","WS/MP18338/2025-2026/157808","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jun-2025","VADLAKONDA SREENU","Payment Success","100000"
"39629","Telangana","Street lights","WS/MP18338/2025-2026/157809","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","03-Jul-2025","VADLAKONDA SREENU","Payment Success","149853"
"39630","Telangana","Street lights","WS/MP18338/2025-2026/157811","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","03-Jul-2025","VADLAKONDA SREENU","Payment Success","149853"
"39631","Telangana","Street lights","WS/MP18338/2025-2026/157812","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","03-Jul-2025","VADLAKONDA SREENU","Payment Success","100000"
"39632","Telangana","Street lights","WS/MP18338/2025-2026/157835","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","03-Jul-2025","VADLAKONDA SREENU","Payment Success","100000"
"39633","Telangana","Street lights","WS/MP18338/2025-2026/157841","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","100000"
"39634","Telangana","Street lights","WS/MP18338/2025-2026/157818","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39635","Telangana","Street lights","WS/MP18338/2025-2026/157819","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39636","Telangana","Street lights","WS/MP18338/2025-2026/157832","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","149853"
"39637","Telangana","Street lights","WS/MP18338/2025-2026/157833","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","100000"
"39638","Telangana","Street lights","WS/MP18338/2025-2026/157834","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","12-Jun-2025","VADLAKONDA SREENU","Payment Success","100000"
"39639","Telangana","Street lights","WS/MP18338/2025-2026/157814","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","20-Aug-2025","VADLAKONDA SREENU","Payment Success","149853"
"39640","Telangana","Street lights","WS/MP18338/2025-2026/157816","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","20-Aug-2025","VADLAKONDA SREENU","Payment Success","149853"
"39641","Telangana","Street lights","WS/MP18338/2025-2026/157817","SURYAPET(DISTRICT COLLECTOR SURYAPET)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","20-Aug-2025","VADLAKONDA SREENU","Payment Success","100000"
"39642","Telangana","Installation of multi-gym equipment","WS/MP770/2025-2026/180880","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","28-Jul-2026","DUGGU MAHENDER RAKESH","Payment Success","299986"
"39643","Telangana","Construction of community centers and community halls","WS/MP770/2025-2026/181196","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Sanjay Kumar Bandi","KARIMNAGAR","23-Jan-2026","DUGGU MAHENDER RAKESH","Payment Success","1974629"
"39644","West Bengal","Street lights","WS/MP18253/2024-2025/136913","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","20-May-2025","MS ANNAPURNA ENTERPRISE","Payment Success","166450"
"39645","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP681/2024-2025/143975","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","07-May-2025","SHANTANU VASUDEVRAO NAVGHARE","Payment Success","699957"
"39646","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP681/2024-2025/163047","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","18-Aug-2025","RAJESH DNYANOBA NEVHAL","Payment Success","997697"
"39647","West Bengal","Street lights","WS/MP18253/2024-2025/136912","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","20-May-2025","MS LAKSHMI NARAYAN ENTERPRISE","Payment Success","166450"
"39648","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Kaptan Singh","Payment Success","3990"
"39649","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Gordhan Singh","Payment Success","3990"
"39650","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Hetram","Payment Success","10500"
"39651","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Ramcharan","Payment Success","3990"
"39652","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Devi Singh","Payment Success","3990"
"39653","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Roshanlal","Payment Success","9800"
"39654","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Balveer Singh","Payment Success","3990"
"39655","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Omveer Singh","Payment Success","3990"
"39656","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18161/2024-2025/138075","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","11-May-2025","Charan Singh","Payment Success","3990"
"39657","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18265/2025-2026/154780","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","05-Aug-2025","SORNAGANDHI","Payment Success","999526"
"39658","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18265/2025-2026/154781","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","M.K. VISHNUPRASAD","CUDDALORE","15-Dec-2025","SORNAGANDHI","Payment Success","963358"
"39659","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2024-2025/165765","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","13-May-2025","GP GHORAN","Payment Success","160000"
"39660","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2024-2025/165765","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","27-Nov-2025","GP GHORAN","Payment Success","40000"
"39661","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2024-2025/165737","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","08-May-2025","GP GHORAN","Payment Success","160000"
"39662","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2024-2025/165737","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","27-Nov-2025","GP GHORAN","Payment Success","40000"
"39663","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18069/2024-2025/165764","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","13-May-2025","GP GHORAN","Payment Success","240000"
"39664","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18069/2024-2025/165764","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","27-Nov-2025","GP GHORAN","Payment Success","60000"
"39665","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/148804","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","15-May-2025","YMA Putlungasih Branch","Payment Success","125000"
"39666","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/148804","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","29-Jul-2025","YMA Putlungasih Branch","Payment Success","125000"
"39667","Mizoram","Development of playfields and sports grounds","WS/MP18138/2025-2026/148807","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","15-May-2025","SubVillage Committee Chhumkhum","Payment Success","125000"
"39668","Mizoram","Development of playfields and sports grounds","WS/MP18138/2025-2026/148807","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","11-Jul-2025","SubVillage Committee Chhumkhum","Payment Success","125000"
"39669","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/148808","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","15-May-2025","Village Council Rangte","Payment Success","125000"
"39670","Mizoram","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18138/2025-2026/148808","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","11-Jul-2025","Village Council Rangte","Payment Success","125000"
"39671","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/148805","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","15-May-2025","YMA Zawlpui Branch","Payment Success","125000"
"39672","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/148805","LUNGLEI(Deputy Commissioner, Lunglei)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","11-Jul-2025","YMA Zawlpui Branch","Payment Success","125000"
"39673","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/173912","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","03-Jun-2025","Maharashtrian Swarnkar Samaj","Payment Success","400000"
"39674","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/173912","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","17-Jun-2025","Maharashtrian Swarnkar Samaj","Payment Success","100000"
